ID_ELEVE,NOM_ELE,PRENOM_ELE,groupe_promo,num_groupe_etudiant,libelle,site,NOTE,TYPE_INSCR,CODE_UP,CODE_FORMATION,CODE_ADMISSION,NOUVEAU,EMAIL_ELE,LOGIN,MOY_CC,MOY_CS,MOY,CREDIT,ECTS_GRADE,rang_domaine,code_domaine,NIVEAU_INIT_MAX_FRANCAIS,NIVEAU_ATTEINT_MAX_FRANCAIS,DATE_EDITION
14134,Lokur,Viusmoril,2,6,DDRSE,Brest,,.,UVF3B415,IG 3A,ST  EDD,NOUVEAU,lokur.viusmoril@imt-atlantique.fr,vlokur,,,,,,,,,,26/01/2018
14201,Losfela,Randu,2,7,Évaluation,Brest,,.,UVF3B415,MP ECOTIC,ADO,NOUVEAU,losfela.randu@imt-atlantique.fr,rlosfela,,,,,,,,,,26/01/2018
4884,Mal'va,Ilra,2,5,Formation,Brest,,.,UVF3B415,MP ECOTIC,ADO,NOUVEAU,mal'va.ilra@imt-atlantique.fr,imal'va,,,,,,,,,,26/01/2018
7471,Manduilos,Dwyren,1,3,Jita,Brest,,.,UVF3B415,IG 3A,CC  PSI,,manduilos.dwyren@imt-atlantique.fr,dmanduilos,,,,,,,,b2,B1+,26/01/2018
7848,Midnight,Edenmourner,2,10,Formation,Brest,,.,UVF3B415,IG 3A,CC  PSI,,midnight.edenmourner@imt-atlantique.fr,emidnight,,,,,,,,,,26/01/2018
11575,Morilce,Ra,1,4,Téléradiologie,Brest,,.,UVF3B415,MSC 2A DS,ADO,NOUVEAU,morilce.ra@imt-atlantique.fr,rmorilce,,,,,,,,b2,B2,26/01/2018
7800,Mothrond,Gille,1,2,Évaluation,Brest,,.,UVF3B415,IG 3A,CC  PC,,mothrond.gille@imt-atlantique.fr,gmothrond,,,,,,,,,,26/01/2018
10228,Mystery,Queencurse,2,10,Formation,Brest,,.,UVF3B415,IG 3A,CC  MP,,mystery.queencurse@imt-atlantique.fr,qmystery,,,,,,,,,,26/01/2018
12406,Nasthe,Leerien,2,5,Formation,Brest,,.,UVF3B415,IG 3A,ST  EDD,,nasthe.leerien@imt-atlantique.fr,lnasthe,,,,,,,,,,26/01/2018
7239,Rasve,Raenfë,1,4,Téléradiologie,Brest,,.,UVF3B415,IG 3A,CC  MP,,rasve.raenfë@imt-atlantique.fr,rrasve,,,,,,,,,,26/01/2018
9573,Riae,Kithril,2,6,DDRSE,Brest,,.,UVF3B415,IG 3A,CC  PSI,,riae.kithril@imt-atlantique.fr,kriae,,,,,,,,,,26/01/2018
4623,Ro,Dandor,2,5,Formation,Brest,,.,UVF3B415,IG 3A,ST  EDD,NOUVEAU,ro.dandor@imt-atlantique.fr,dro,,,,,,,,,,26/01/2018
11535,Star,Eternity,2,10,Formation,Brest,,.,UVF3B415,MP ECOTIC,ADO,NOUVEAU,star.eternity@imt-atlantique.fr,estar,,,,,,,,,,26/01/2018
8992,Stiletto,Shroud,2,10,Formation,Brest,,.,UVF3B415,IG 3A,ST  CF,,stiletto.shroud@imt-atlantique.fr,sstiletto,,,,,,,,,,26/01/2018
4579,Storm,Katana,1,1,DDRSE,Brest,,.,UVF3B415,IG 3A,ST  CONV,NOUVEAU,storm.katana@imt-atlantique.fr,kstorm,,,,,,,,,,26/01/2018
3095,Sunset,Lionchanter,1,1,DDRSE,Brest,,.,UVF3B415,MSC 2A DS,ADO,NOUVEAU,sunset.lionchanter@imt-atlantique.fr,lsunset,,,,,,,,b1,A2,26/01/2018
3583,Tari,Nordral,2,6,DDRSE,Brest,,.,UVF3B415,IG 3A,CC  PC,,tari.nordral@imt-atlantique.fr,ntari,,,,,,,,,,26/01/2018
14462,Tempest,Queensong,1,1,DDRSE,Brest,,.,UVF3B415,IG 3A,CC  MP,,tempest.queensong@imt-atlantique.fr,qtempest,,,,,,,,,,26/01/2018
9295,Thognor,Sarbeleg,1,3,Jita,Brest,,.,UVF3B415,MSC 2A DS,ADO,,thognor.sarbeleg@imt-atlantique.fr,sthognor,,,,,,,,,,26/01/2018
15276,Thranvoduil,Thafin,2,6,DDRSE,Brest,,.,UVF3B415,IG 3A,ST  EDD,,thranvoduil.thafin@imt-atlantique.fr,tthranvoduil,,,,,,,,,,26/01/2018
13046,Tome,Starfinder,1,1,DDRSE,Brest,,.,UVF3B415,IG 3A,CC  MP,,tome.starfinder@imt-atlantique.fr,stome,,,,,,,,,,26/01/2018
10315,Tortha,Rohirea,1,3,Jita,Brest,,.,UVF3B415,IG 3A,CC  MP,,tortha.rohirea@imt-atlantique.fr,rtortha,,,,,,,,b2,B1+,26/01/2018
13089,Typhoon,Honor,1,1,DDRSE,Brest,,.,UVF3B415,IG 3A,CC  MP,NOUVEAU,typhoon.honor@imt-atlantique.fr,htyphoon,,,,,,,,b2,B2,26/01/2018
